q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_4_frames_010_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])	error
2.44142300e+00	7.01189200e-01	1.85119054e-01
2.45140100e+00	8.78757100e-01	1.92998748e-01
2.46138000e+00	4.92845300e-01	1.78521890e-01
2.47135900e+00	7.24126100e-01	1.86652542e-01
2.48133800e+00	8.95077000e-01	1.90224364e-01
2.49131700e+00	9.35238300e-01	1.89024036e-01
2.50129600e+00	8.04999000e-01	1.87972042e-01
2.51127500e+00	6.78608500e-01	1.83463737e-01
2.52125300e+00	7.76076500e-01	6.71259000e+00
2.53123200e+00	8.15499800e-01	6.71735678e+00
2.54121100e+00	4.54567100e-01	1.76591925e-01
2.55119000e+00	1.05386620e+00	1.92838826e-01
2.56116900e+00	9.39911900e-01	1.87507353e-01
2.57114800e+00	6.62497900e-01	1.79931273e-01
2.58112700e+00	8.28195900e-01	1.85560412e-01
2.59110500e+00	1.01467930e+00	1.87862960e-01
2.60108400e+00	8.09104300e-01	1.83070613e-01
2.61106300e+00	1.13847460e+00	3.94825980e+00
2.62104200e+00	1.04866460e+00	3.90732594e+00
2.63102100e+00	5.54801800e-01	3.98674246e+00
2.64100000e+00	8.58799100e-01	1.82533985e-01
2.65097800e+00	6.90647600e-01	1.78079081e-01
2.66095700e+00	1.01511780e+00	1.87774872e-01
2.67093600e+00	9.08693300e-01	1.85089308e-01
2.68091500e+00	7.63025300e-01	1.78412424e-01
2.69089400e+00	8.39052700e-01	1.85608294e-01
2.70087300e+00	9.40096000e-01	1.83960298e-01
2.71085200e+00	8.34292200e-01	6.70984427e+00
2.72083000e+00	6.04592400e-01	6.54736099e+00
2.73080900e+00	9.88965700e-01	6.77714070e+00
2.74078800e+00	6.27380900e-01	1.74882367e-01
2.75076700e+00	8.56420700e-01	6.71653721e+00
2.76074600e+00	7.56320500e-01	6.70444193e+00
2.77072500e+00	9.71615700e-01	1.83227526e-01
2.78070400e+00	5.50021900e-01	1.69147830e-01
2.79068200e+00	7.48338200e-01	1.76990400e-01
2.80066100e+00	8.61479000e-01	1.78355128e-01
2.81064000e+00	1.33142270e+00	1.89352803e-01
2.82061900e+00	1.12798690e+00	1.85728426e-01
2.83059800e+00	5.79807500e-01	1.68216415e-01
2.84057700e+00	4.52984700e-01	1.66837000e-01
2.85055600e+00	9.22316400e-01	3.97874929e+00
2.86053400e+00	7.54172500e-01	3.96143883e+00
2.87051300e+00	9.45155200e-01	6.81297210e+00
2.88049200e+00	4.72780000e-01	6.44854548e+00
2.89047100e+00	5.48044700e-01	6.53787779e+00
2.90045000e+00	5.36450300e-01	6.50614728e+00
2.91042900e+00	5.29537800e-01	6.49843343e+00
2.92040800e+00	1.01948670e+00	1.78437511e-01
2.93038600e+00	6.65650900e-01	1.68707362e-01
2.94036500e+00	6.07922400e-01	1.67346089e-01
2.95034400e+00	5.67661600e-01	1.65271086e-01
2.96032300e+00	1.05651690e+00	1.79209709e-01
2.97030200e+00	6.60844600e-01	1.68680004e-01
2.98028100e+00	1.03872440e+00	1.77942355e-01
2.99026000e+00	6.87938700e-01	1.69729244e-01
3.00023800e+00	9.68315500e-01	1.73103034e-01
3.01021700e+00	7.84253000e-01	1.72698567e-01
3.02019600e+00	6.89996300e-01	3.94454622e+00
3.03017500e+00	7.79201100e-01	3.92645443e+00
3.04015400e+00	9.59251500e-01	6.81679647e+00
3.05013300e+00	1.05651660e+00	6.87170146e+00
3.06011100e+00	1.23475350e+00	3.92245799e+00
3.07009000e+00	9.24442700e-01	6.79975613e+00
3.08006900e+00	6.59237000e-01	6.58912723e+00
3.09004800e+00	9.59370100e-01	3.92796198e+00
3.10002700e+00	1.07953210e+00	3.91816686e+00
3.11000600e+00	1.04805520e+00	3.95899056e+00
3.11998500e+00	6.91267600e-01	1.64246099e-01
3.12996300e+00	6.61795800e-01	1.65380620e-01
3.13994200e+00	9.48428200e-01	1.70895162e-01
3.14992100e+00	5.84271000e-01	1.60876836e-01
3.15990000e+00	1.00587780e+00	1.73245527e-01
3.16987900e+00	1.09469160e+00	6.87752535e+00
3.17985800e+00	9.95324100e-01	6.84171901e+00
3.18983700e+00	7.43815000e-01	1.64310612e-01
3.19981500e+00	6.60778900e-01	1.62902667e-01
3.20979400e+00	5.74043700e-01	1.62058609e-01
3.21977300e+00	9.00111100e-01	1.66426164e-01
3.22975200e+00	7.31225500e-01	1.65718278e-01
3.23973100e+00	1.06107990e+00	1.70159914e-01
3.24971000e+00	6.87840600e-01	1.62826663e-01
3.25968900e+00	9.87452300e-01	1.68069231e-01
3.26966700e+00	9.51548700e-01	1.67662430e-01
3.27964600e+00	9.75615400e-01	1.69406966e-01
3.28962500e+00	1.08439090e+00	1.69470286e-01
3.29960400e+00	1.01740100e+00	1.68725118e-01
3.30958300e+00	9.04748300e-01	1.67007268e-01
