q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_3_000_350.dat_00001_[]-Lyso_Buffer_000_350.dat_00001_[])	error
4.85630500e+00	-7.49907000e-01	8.47262710e-02
4.86628400e+00	-5.90759000e-01	8.27842414e-02
4.87626300e+00	-6.36229000e-01	8.33775357e-02
4.88624200e+00	-6.96378000e-01	8.60601803e-02
4.89622100e+00	-6.45328000e-01	8.58639084e-02
4.90619900e+00	-7.43610000e-01	8.83169706e-02
4.91617800e+00	-8.55318000e-01	8.70946450e-02
4.92615700e+00	-6.77740000e-01	8.85800002e-02
4.93613600e+00	-6.81493000e-01	8.95159677e-02
4.94611500e+00	-7.23591000e-01	8.76226995e-02
4.95609400e+00	-8.38629000e-01	8.89187739e-02
4.96607300e+00	-7.92981000e-01	8.97627575e-02
4.97605100e+00	-8.28997000e-01	8.92698911e-02
4.98603000e+00	-7.73752000e-01	9.07825608e-02
4.99600900e+00	-7.38465000e-01	8.98880894e-02
5.00598800e+00	-6.78864000e-01	9.11163458e-02
5.01596700e+00	-8.19211000e-01	9.19663443e-02
5.02594600e+00	-8.68123000e-01	9.27964947e-02
5.03592400e+00	-7.03505000e-01	9.03836186e-02
5.04590300e+00	-6.61552000e-01	9.37805745e-02
5.05588200e+00	-6.57993000e-01	9.22917323e-02
5.06586100e+00	-7.68433000e-01	9.40537007e-02
5.07584000e+00	-8.17968000e-01	9.46987572e-02
5.08581900e+00	-8.23555000e-01	7.97525573e+00
5.09579800e+00	-8.75748000e-01	7.97421813e+00
5.10577600e+00	-8.86953000e-01	8.02506358e+00
5.11575500e+00	-8.39861000e-01	7.96976351e+00
5.12573400e+00	-6.83949000e-01	7.92637644e+00
5.13571300e+00	-9.58253000e-01	7.94437282e+00
5.14569200e+00	-7.71124000e-01	7.97638158e+00
5.15567100e+00	-6.90392000e-01	8.02482686e+00
5.16565000e+00	-8.07107000e-01	7.95901477e+00
