q[nm-1]	I(q)[sr-1]_mult(Lyso_Lyso_3_000_350.dat_00001_[]*1.5000)	error
4.96607300e+00	4.42770300e+00	9.82564050e-02
4.97605100e+00	4.46408100e+00	9.65623050e-02
4.98603000e+00	4.63735950e+00	9.85698600e-02
4.99600900e+00	4.59614100e+00	9.75579750e-02
5.00598800e+00	4.46049000e+00	9.97145550e-02
5.01596700e+00	4.47719250e+00	1.01393715e-01
5.02594600e+00	4.42632450e+00	1.02031365e-01
5.03592400e+00	4.59025050e+00	9.77021250e-02
5.04590300e+00	4.66549800e+00	1.02637875e-01
5.05588200e+00	4.59106950e+00	1.01933415e-01
5.06586100e+00	4.66398000e+00	1.02707130e-01
5.07584000e+00	4.53093150e+00	1.03882530e-01
5.08581900e+00	4.61915400e+00	7.66676550e+00
5.09579800e+00	4.57621350e+00	7.63104600e+00
5.10577600e+00	4.63475550e+00	7.67970300e+00
5.11575500e+00	4.59890400e+00	7.64994150e+00
5.12573400e+00	4.66587750e+00	7.70544450e+00
5.13571300e+00	4.47110250e+00	7.54289850e+00
5.14569200e+00	4.66240050e+00	7.70257200e+00
5.15567100e+00	4.79098800e+00	7.80806700e+00
5.16565000e+00	4.61079150e+00	7.65982200e+00
5.17562800e+00	4.53971850e+00	7.60055700e+00
5.18560700e+00	4.73455350e+00	7.76194350e+00
5.19558600e+00	4.57545900e+00	7.63041750e+00
5.20556500e+00	4.59149700e+00	7.64377950e+00
5.21554400e+00	4.66621800e+00	7.70572500e+00
5.22552300e+00	4.67623950e+00	7.71399450e+00
5.23550200e+00	4.84614150e+00	7.85288100e+00
5.24548000e+00	4.46620950e+00	7.53877050e+00
5.25545900e+00	4.68156300e+00	7.71838500e+00
5.26543800e+00	4.68922650e+00	7.72470000e+00
5.27541700e+00	4.64760600e+00	7.69034100e+00
5.28539600e+00	4.66024050e+00	7.70078700e+00
5.29537500e+00	4.64684700e+00	7.68971400e+00
5.30535400e+00	4.71308100e+00	7.74432150e+00
