q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_3_000_350_mult.dat_00001_[mult(Lyso_Lyso_3_000_350.dat_00001_[]*1.5000)]-Lyso_Buffer_000_350.dat_00001_[])	error
3.55905400e+00	1.16914150e+00	1.13330308e-01
3.56903300e+00	1.16898000e+00	1.16033173e-01
3.57901200e+00	1.11013800e+00	1.15001217e-01
3.58899100e+00	9.72741000e-01	1.15632881e-01
3.59897000e+00	9.92717000e-01	1.14185610e-01
3.60894800e+00	1.15118100e+00	1.14769205e-01
3.61892700e+00	9.95348000e-01	1.15502938e-01
3.62890600e+00	1.12852250e+00	1.13080786e-01
3.63888500e+00	1.01052150e+00	1.15226181e-01
3.64886400e+00	1.17559150e+00	1.15142340e-01
3.65884300e+00	9.38725500e-01	1.14226359e-01
3.66882200e+00	1.01730900e+00	9.54401435e+00
3.67880000e+00	1.00161600e+00	9.56606852e+00
3.68877900e+00	1.04033950e+00	1.13209405e-01
3.69875800e+00	9.61840000e-01	1.12238070e-01
3.70873700e+00	9.32842000e-01	1.12854642e-01
3.71871600e+00	1.06771300e+00	1.13321818e-01
3.72869500e+00	9.62827500e-01	1.12440687e-01
3.73867400e+00	9.30938500e-01	1.13727110e-01
3.74865200e+00	9.34534000e-01	1.13110763e-01
3.75863100e+00	8.63853500e-01	9.54128367e+00
3.76861000e+00	9.47946500e-01	9.64580229e+00
3.77858900e+00	8.69764500e-01	9.54013906e+00
3.78856800e+00	9.74950500e-01	1.13539974e-01
3.79854700e+00	1.00571600e+00	1.10155790e-01
3.80852500e+00	8.59242500e-01	9.60765372e+00
3.81850400e+00	9.43477000e-01	9.63299901e+00
3.82848300e+00	9.18132500e-01	1.11375182e-01
3.83846200e+00	9.65632500e-01	9.56270675e+00
3.84844100e+00	7.91170000e-01	9.49728937e+00
3.85842000e+00	1.07129700e+00	1.12037101e-01
3.86839900e+00	1.10655150e+00	1.11185927e-01
3.87837700e+00	7.88399000e-01	1.13010370e-01
3.88835600e+00	9.42954000e-01	1.11568497e-01
3.89833500e+00	7.07704500e-01	1.07684706e-01
3.90831400e+00	7.72142000e-01	1.09988350e-01
3.91829300e+00	9.31926500e-01	1.10157211e-01
3.92827200e+00	9.46322500e-01	1.10918554e-01
3.93825100e+00	9.42564000e-01	1.08616943e-01
3.94822900e+00	9.17126000e-01	1.08074277e-01
3.95820800e+00	8.02476500e-01	1.09854433e-01
3.96818700e+00	8.29472500e-01	1.08428577e-01
3.97816600e+00	9.56014500e-01	1.09325409e-01
3.98814500e+00	6.98191500e-01	9.47948870e+00
3.99812400e+00	9.17498000e-01	9.66206519e+00
4.00810300e+00	1.14580350e+00	1.09569178e-01
4.01808100e+00	7.34680500e-01	1.06966398e-01
4.02806000e+00	9.95576500e-01	1.07694126e-01
4.03803900e+00	9.95266000e-01	1.08085023e-01
4.04801800e+00	9.13036000e-01	1.07690039e-01
4.05799700e+00	1.02443050e+00	9.65268943e+00
4.06797600e+00	9.96532500e-01	9.63590310e+00
4.07795500e+00	8.90065500e-01	9.60813181e+00
4.08793300e+00	7.95775000e-01	9.57450393e+00
4.09791200e+00	9.73659000e-01	1.09918572e-01
4.10789100e+00	8.80534500e-01	1.06929601e-01
4.11787000e+00	8.55715000e-01	1.07952372e-01
4.12784900e+00	1.02125850e+00	1.07503906e-01
4.13782800e+00	6.79203500e-01	1.05379945e-01
4.14780700e+00	8.14628500e-01	1.08397465e-01
4.15778500e+00	9.37366000e-01	1.05309414e-01
4.16776400e+00	9.18541000e-01	1.07186605e-01
4.17774300e+00	1.03081400e+00	9.64871283e+00
4.18772200e+00	1.02209000e+00	9.60652501e+00
4.19770100e+00	9.37031000e-01	9.58228272e+00
4.20768000e+00	8.77614000e-01	1.05159652e-01
4.21765800e+00	8.84365500e-01	1.06267988e-01
4.22763700e+00	7.87934500e-01	1.03820146e-01
4.23761600e+00	1.12673850e+00	1.06659437e-01
4.24759500e+00	7.41757000e-01	5.95200887e+00
4.25757400e+00	8.47027500e-01	5.82031112e+00
4.26755300e+00	1.07377350e+00	9.72961832e+00
4.27753200e+00	8.54676500e-01	9.62266449e+00
4.28751000e+00	6.46840000e-01	9.58654355e+00
4.29748900e+00	7.52212000e-01	9.59706953e+00
4.30746800e+00	9.28127000e-01	9.69500267e+00
4.31744700e+00	6.63643000e-01	5.99336463e+00
4.32742600e+00	7.67299000e-01	5.95946409e+00
4.33740500e+00	8.13561000e-01	1.04513873e-01
4.34738400e+00	9.47707000e-01	1.02904276e-01
4.35736200e+00	7.81513500e-01	1.04920540e-01
4.36734100e+00	7.78594500e-01	1.03978521e-01
4.37732000e+00	7.62816500e-01	1.02466379e-01
4.38729900e+00	7.05831500e-01	1.03099849e-01
4.39727800e+00	7.01537500e-01	1.02582490e-01
4.40725700e+00	8.23866000e-01	1.03365462e-01
4.41723600e+00	8.02727000e-01	1.00718138e-01
4.42721400e+00	8.21068500e-01	1.04768446e-01
4.43719300e+00	9.42503000e-01	1.04040369e-01
4.44717200e+00	7.45999000e-01	1.02574930e-01
4.45715100e+00	8.22542500e-01	9.57047854e+00
4.46713000e+00	8.21272000e-01	9.56566747e+00
4.47710900e+00	7.42867000e-01	1.03882012e-01
4.48708800e+00	7.26748000e-01	1.02165633e-01
4.49706600e+00	7.72289000e-01	1.02951753e-01
4.50704500e+00	1.04597750e+00	1.05215111e-01
4.51702400e+00	8.96141000e-01	1.01927118e-01
4.52700300e+00	9.92102500e-01	1.04427297e-01
4.53698200e+00	8.56167500e-01	9.68566378e+00
4.54696100e+00	6.31634500e-01	9.46673874e+00
4.55694000e+00	6.96949500e-01	9.58696481e+00
4.56691800e+00	7.67400500e-01	1.01522846e-01
4.57689700e+00	8.79579000e-01	1.00820913e-01
4.58687600e+00	7.59249500e-01	1.01997267e-01
4.59685500e+00	8.84678000e-01	1.02013184e-01
4.60683400e+00	7.11619500e-01	1.01992500e-01
4.61681300e+00	8.67763000e-01	1.02834562e-01
4.62679100e+00	7.51838500e-01	1.01027543e-01
4.63677000e+00	7.48856000e-01	1.00674773e-01
4.64674900e+00	6.88117500e-01	9.99457292e-02
4.65672800e+00	6.70410500e-01	1.01723688e-01
4.66670700e+00	7.27085500e-01	1.00776905e-01
4.67668600e+00	8.25843500e-01	1.01232126e-01
4.68666500e+00	6.68319500e-01	9.96514543e-02
4.69664300e+00	7.14416500e-01	1.01468505e-01
4.70662200e+00	7.93871000e-01	9.65807869e+00
4.71660100e+00	6.58026000e-01	9.60431462e+00
4.72658000e+00	9.04491000e-01	1.03675219e-01
4.73655900e+00	7.68853500e-01	1.02366321e-01
4.74653800e+00	7.68334000e-01	1.05150995e-01
4.75651700e+00	7.27316500e-01	1.03871660e-01
4.76649500e+00	9.66626000e-01	1.07748664e-01
4.77647400e+00	9.49441500e-01	1.05726795e-01
4.78645300e+00	8.12253500e-01	1.05880705e-01
