q[nm-1]	I(q)[sr-1]_mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)	error
5.03592400e+00	2.63441710e+00	2.16837670e-02
5.04590300e+00	2.64765480e+00	2.23493200e-02
5.05588200e+00	2.63676140e+00	2.20820670e-02
5.06586100e+00	2.64738950e+00	2.24236250e-02
5.07584000e+00	2.64097890e+00	2.22831910e-02
5.08581900e+00	2.67265530e+00	4.08637950e+00
5.09579800e+00	2.67256570e+00	4.08631090e+00
5.10577600e+00	2.67257200e+00	4.08631580e+00
5.11575500e+00	2.69716020e+00	4.10507020e+00
5.12573400e+00	2.69772720e+00	4.10550210e+00
5.13571300e+00	2.68132830e+00	4.09300500e+00
5.14569200e+00	2.65040930e+00	4.06933730e+00
5.15567100e+00	2.71202470e+00	4.11636680e+00
5.16565000e+00	2.66245980e+00	4.07857800e+00
5.17562800e+00	2.68231390e+00	4.09375680e+00
5.18560700e+00	2.72461560e+00	4.12591130e+00
5.19558600e+00	2.68686040e+00	4.09722460e+00
5.20556500e+00	2.66218680e+00	4.07836870e+00
5.21554400e+00	2.67874600e+00	4.09103310e+00
5.22552300e+00	2.70599490e+00	4.11178810e+00
5.23550200e+00	2.71462450e+00	4.11833870e+00
5.24548000e+00	2.72482140e+00	4.12606670e+00
5.25545900e+00	2.67203230e+00	4.08590350e+00
5.26543800e+00	2.66634620e+00	4.08155370e+00
5.27541700e+00	2.73594160e+00	4.13447790e+00
