q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,PEG20k_20p0wt_merged_nmA.dat_00001_[nmA(PEG20k_20p0wt_merged.dat_00001_[merged(PEG_PEG20k_20p0wt_1621_noT_sub_mult_mult_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_1621_noT_sub_mult_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_1621_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_1621_noT_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)]*0.5800)]-PEG_Water_1621_noT_sub_mult.dat_00001_[mult(PEG_Water_1621_noT_sub.dat_00001_[sub(PEG_Water_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)])]PEG_PEG20k_20p0wt_300_noT_sub_mult_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_300_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_300_noT_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])]*0.5000)]-PEG_Water_300_noT_sub.dat_00001_[sub(PEG_Water_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])])],scale_low,lq=0.4438,hq=0.7171)])],1,0.0050)	error
2.13272200e-01	2.98518616e-04	3.56521564e-05
2.18997700e-01	3.38058292e-04	3.49787676e-05
2.24723200e-01	2.98572168e-04	3.50192704e-05
2.30448600e-01	2.27222940e-04	4.40841680e-05
2.36174100e-01	2.52709926e-04	4.92204408e-05
2.41899600e-01	2.18629482e-04	3.37789648e-05
2.47625100e-01	2.51289640e-04	7.54764888e-04
2.53350500e-01	2.90307034e-04	7.70651317e-04
2.59076000e-01	2.60813546e-04	3.22835314e-05
2.64801500e-01	2.40382162e-04	5.10193995e-05
2.70527000e-01	2.46171538e-04	6.64375642e-05
2.76252400e-01	2.21132026e-04	3.14681217e-05
2.81977900e-01	2.17387754e-04	3.13840497e-05
2.87703400e-01	2.26285492e-04	3.09417113e-05
2.93428800e-01	2.13842478e-04	9.76251783e-04
3.00299400e-01	2.16021286e-04	4.09193899e-04
3.08315100e-01	1.78475344e-04	5.52885505e-04
3.16330700e-01	1.86838671e-04	5.73093884e-04
3.24346400e-01	1.94102290e-04	6.94351730e-04
3.32362100e-01	1.27583756e-04	4.65736022e-05
3.40377700e-01	1.36038963e-04	2.43108062e-05
3.48393400e-01	1.36151197e-04	4.68190071e-05
3.56409100e-01	1.40999380e-04	7.87294327e-04
3.64424700e-01	1.48260399e-04	4.16642134e-04
3.72440400e-01	1.46224460e-04	4.09876231e-04
3.80456100e-01	1.37222573e-04	2.31979898e-05
3.88471700e-01	9.77389171e-05	2.31533422e-05
3.96487400e-01	1.41949373e-04	2.27675610e-05
4.05648100e-01	1.32230979e-04	1.99399317e-05
4.15954000e-01	1.35831353e-04	3.52557849e-05
4.26259900e-01	1.12599670e-04	1.97741157e-05
4.36565700e-01	7.29019911e-05	1.95353601e-05
4.46871600e-01	1.41081738e-04	2.82452189e-05
4.57177400e-01	1.47132599e-04	2.22713876e-05
4.67483300e-01	1.41756604e-04	7.74366718e-04
4.77789100e-01	1.25488386e-04	5.56558522e-04
4.88095000e-01	1.18651760e-04	3.06000780e-05
4.99545900e-01	1.03246074e-04	1.68973671e-05
5.12142000e-01	1.32676636e-04	8.33095885e-04
5.24738000e-01	1.14581686e-04	3.70674551e-04
5.37334100e-01	1.32017966e-04	2.54675908e-05
5.49930100e-01	9.67637955e-05	4.68439985e-04
5.62526100e-01	7.21400291e-05	2.54521148e-05
5.75122200e-01	1.02043836e-04	1.89554005e-05
5.87718200e-01	1.24610027e-04	1.97861029e-05
6.01459400e-01	7.10885792e-05	2.19035186e-05
6.16345600e-01	1.17260934e-04	4.14366890e-04
6.31231800e-01	7.72071854e-05	1.78867945e-05
6.46118100e-01	1.02091370e-04	1.85804329e-05
6.61004300e-01	8.49238123e-05	1.89061876e-05
6.75890500e-01	1.05251823e-04	1.93347881e-05
6.90776800e-01	1.01928527e-04	1.96731673e-05
7.06808100e-01	7.86831787e-05	3.88261725e-04
