q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_frames_005_350_sub.dat_00001_[sub(Lyso_Lyso_4_frames_005_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
3.22975200e-01	9.31842500e-01	1.70702920e-01
3.23973100e-01	7.61303900e-01	1.62866749e-01
3.24971000e-01	7.04163600e-01	1.63235198e-01
3.25968900e-01	1.03602030e+00	1.69234746e-01
3.26966700e-01	1.15246570e+00	1.72410599e-01
3.27964600e-01	7.87051400e-01	1.64781003e-01
3.28962500e-01	6.94787900e-01	1.60069930e-01
3.29960400e-01	1.12961200e+00	1.71369685e-01
3.30958300e-01	6.23969300e-01	1.60121684e-01
3.31956200e-01	5.18772600e-01	1.55580915e-01
3.32954100e-01	6.18453700e-01	1.58678703e-01
3.33951900e-01	7.68401900e-01	1.59724747e-01
3.34949800e-01	6.02647000e-01	1.58571185e-01
3.35947700e-01	8.68191000e-01	6.73273151e+00
3.36945600e-01	8.70740700e-01	6.70601513e+00
3.37943500e-01	1.00423590e+00	6.81409482e+00
3.38941400e-01	7.66285900e-01	6.66334393e+00
3.39939200e-01	8.10683300e-01	1.62820673e-01
3.40937100e-01	7.03267000e-01	1.58838931e-01
3.41935000e-01	9.58357500e-01	6.85132336e+00
3.42932900e-01	6.14244300e-01	6.57116865e+00
3.43930800e-01	8.57916300e-01	6.72302585e+00
3.44928700e-01	8.47767400e-01	1.62772634e-01
3.45926600e-01	1.01240930e+00	1.64094295e-01
3.46924400e-01	9.15338800e-01	1.61365337e-01
3.47922300e-01	7.55441100e-01	6.68355270e+00
3.48920200e-01	9.48439900e-01	6.83039195e+00
3.49918100e-01	1.03254380e+00	6.86861495e+00
3.50916000e-01	7.04262000e-01	6.68399533e+00
3.51913900e-01	8.75915600e-01	1.60625479e-01
3.52911800e-01	8.93883800e-01	1.60383131e-01
3.53909600e-01	6.98265900e-01	1.55813058e-01
3.54907500e-01	9.75807000e-01	1.62733152e-01
3.55905400e-01	7.19988500e-01	1.55082705e-01
3.56903300e-01	7.36955100e-01	1.57646323e-01
3.57901200e-01	8.38364600e-01	1.57703956e-01
3.58899100e-01	7.80098400e-01	1.57844006e-01
3.59897000e-01	5.75909300e-01	1.51751852e-01
3.60894800e-01	5.36783200e-01	1.50904646e-01
3.61892700e-01	9.52404900e-01	1.62046610e-01
3.62890600e-01	6.01862200e-01	1.49751247e-01
3.63888500e-01	7.81134200e-01	1.55979156e-01
3.64886400e-01	5.38294700e-01	1.49378367e-01
3.65884300e-01	1.06991080e+00	1.62222588e-01
3.66882200e-01	7.55520700e-01	6.67811015e+00
3.67880000e-01	7.74262300e-01	6.67472778e+00
3.68877900e-01	9.40803100e-01	1.59808783e-01
3.69875800e-01	4.91188500e-01	1.47308350e-01
3.70873700e-01	6.52783200e-01	1.52521737e-01
3.71871600e-01	8.78207700e-01	1.57605813e-01
3.72869500e-01	8.49354700e-01	1.55408056e-01
3.73867400e-01	8.53405200e-01	1.57689003e-01
3.74865200e-01	4.10615400e-01	1.45307360e-01
3.75863100e-01	7.08312300e-01	6.64486601e+00
3.76861000e-01	8.85661000e-01	6.78449615e+00
3.77858900e-01	8.25295800e-01	6.73514307e+00
3.78856800e-01	7.58623400e-01	1.54797486e-01
3.79854700e-01	7.17878800e-01	1.49989833e-01
3.80852500e-01	7.50180500e-01	6.66659918e+00
3.81850400e-01	5.85464000e-01	6.57203881e+00
3.82848300e-01	9.86244800e-01	1.57520171e-01
3.83846200e-01	8.88226300e-01	6.71230654e+00
3.84844100e-01	5.00123000e-01	6.52446647e+00
3.85842000e-01	3.91857800e-01	1.43557400e-01
3.86839900e-01	5.36011400e-01	1.46003376e-01
3.87837700e-01	5.47391200e-01	1.46809759e-01
3.88835600e-01	8.29471900e-01	1.52482731e-01
3.89833500e-01	9.01511700e-01	3.94716748e+00
3.90831400e-01	7.46339400e-01	3.95413104e+00
3.91829300e-01	8.88457300e-01	1.52565706e-01
3.92827200e-01	5.10562800e-01	1.45340695e-01
3.93825100e-01	7.13559000e-01	1.47680647e-01
3.94822900e-01	8.42186100e-01	1.51718158e-01
3.95820800e-01	9.51822500e-01	1.54623206e-01
3.96818700e-01	9.28726500e-01	1.52758801e-01
3.97816600e-01	7.05952800e-01	1.48450120e-01
3.98814500e-01	8.18038500e-01	6.73997175e+00
3.99812400e-01	1.06804060e+00	6.92114636e+00
4.00810300e-01	5.39685700e-01	1.43040788e-01
4.01808100e-01	8.76830400e-01	1.52621267e-01
4.02806000e-01	5.57898300e-01	1.45002470e-01
4.03803900e-01	5.84459800e-01	1.44864119e-01
4.04801800e-01	7.94742300e-01	1.50521598e-01
4.05799700e-01	7.11609700e-01	6.68930023e+00
4.06797600e-01	7.25430100e-01	6.74676183e+00
4.07795500e-01	7.04250600e-01	6.66989426e+00
4.08793300e-01	8.38634200e-01	6.80246391e+00
4.09791200e-01	7.58537700e-01	1.48164908e-01
4.10789100e-01	3.84581700e-01	1.38408310e-01
4.11787000e-01	7.49695200e-01	1.47917995e-01
4.12784900e-01	6.63121800e-01	1.44394124e-01
4.13782800e-01	7.50672300e-01	1.46574046e-01
4.14780700e-01	8.45976100e-01	1.51107218e-01
4.15778500e-01	7.67201200e-01	1.45099039e-01
4.16776400e-01	5.78944400e-01	1.43051767e-01
4.17774300e-01	8.10050300e-01	6.73700258e+00
4.18772200e-01	7.73477400e-01	6.70911960e+00
4.19770100e-01	4.90917400e-01	6.55518518e+00
4.20768000e-01	9.33729800e-01	1.49242265e-01
4.21765800e-01	7.24621000e-01	1.45619216e-01
4.22763700e-01	4.93735300e-01	1.39203664e-01
4.23761600e-01	6.46937000e-01	3.96055034e+00
4.24759500e-01	6.32456800e-01	3.95947548e+00
4.25757400e-01	8.09659300e-01	3.97605666e+00
4.26755300e-01	8.56123900e-01	6.82238184e+00
4.27753200e-01	5.55221100e-01	6.58484980e+00
4.28751000e-01	4.38443500e-01	6.51599206e+00
4.29748900e-01	5.69162700e-01	6.62844464e+00
4.30746800e-01	9.02283800e-01	6.79604904e+00
4.31744700e-01	9.88751400e-01	1.49347625e-01
4.32742600e-01	8.11197100e-01	1.45407242e-01
4.33740500e-01	7.55926100e-01	1.44065093e-01
4.34738400e-01	8.73679300e-01	1.45064241e-01
4.35736200e-01	6.96424700e-01	1.43275475e-01
