q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_4_frames_029_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])	error
2.52125300e+00	6.41248500e-01	6.62198541e+00
2.53123200e+00	9.27256800e-01	6.79148830e+00
2.54121100e+00	7.42632100e-01	1.84792655e-01
2.55119000e+00	7.46284200e-01	1.84481086e-01
2.56116900e+00	9.39911900e-01	1.87507353e-01
2.57114800e+00	7.33858900e-01	1.81941516e-01
2.58112700e+00	7.17318900e-01	1.82524162e-01
2.59110500e+00	9.34760300e-01	1.85725920e-01
2.60108400e+00	7.99036300e-01	1.82793498e-01
2.61106300e+00	9.41097600e-01	3.94801312e+00
2.62104200e+00	7.19733600e-01	3.90690637e+00
2.63102100e+00	1.05540980e+00	3.98737102e+00
2.64100000e+00	7.40503100e-01	1.79311186e-01
2.65097800e+00	5.23978600e-01	1.73430556e-01
2.66095700e+00	8.19678800e-01	1.82618714e-01
2.67093600e+00	7.91173300e-01	1.81953717e-01
2.68091500e+00	3.03001300e-01	1.65596560e-01
2.69089400e+00	7.80738700e-01	1.84075257e-01
2.70087300e+00	9.59429000e-01	1.84467580e-01
2.71085200e+00	7.18667200e-01	6.63218770e+00
2.72083000e+00	1.09265740e+00	6.87323979e+00
2.73080900e+00	1.00779070e+00	6.78957537e+00
2.74078800e+00	7.71445900e-01	1.78794564e-01
2.75076700e+00	8.27882700e-01	6.69747395e+00
2.76074600e+00	6.90431500e-01	6.66026401e+00
2.77072500e+00	1.02899570e+00	1.84718890e-01
2.78070400e+00	8.82589900e-01	1.77997917e-01
2.79068200e+00	7.67223200e-01	1.77493468e-01
2.80066100e+00	9.08345000e-01	1.79582391e-01
2.81064000e+00	5.54627700e-01	1.69325210e-01
2.82061900e+00	1.01455790e+00	1.82819307e-01
2.83059800e+00	7.07429500e-01	1.71639641e-01
2.84057700e+00	8.45841700e-01	1.77508465e-01
2.85055600e+00	6.75687400e-01	3.97846618e+00
2.86053400e+00	1.03561850e+00	3.96176133e+00
2.87051300e+00	1.07448720e+00	6.89750106e+00
2.88049200e+00	8.04332000e-01	6.67493375e+00
2.89047100e+00	8.80612700e-01	6.76194892e+00
2.90045000e+00	8.58077300e-01	6.72398825e+00
2.91042900e+00	7.92028800e-01	6.67695895e+00
2.92040800e+00	8.22346700e-01	1.73416833e-01
2.93038600e+00	8.99334900e-01	1.74821254e-01
2.94036500e+00	7.15345400e-01	1.70195066e-01
2.95034400e+00	8.56440600e-01	1.72747201e-01
2.96032300e+00	8.67960900e-01	1.74422254e-01
2.97030200e+00	9.09264600e-01	1.75091374e-01
2.98028100e+00	8.70652400e-01	1.73714542e-01
2.99026000e+00	1.02709570e+00	1.78423721e-01
3.00023800e+00	7.62317500e-01	1.67918277e-01
3.01021700e+00	7.48659000e-01	1.71779084e-01
3.02019600e+00	8.79553300e-01	3.94475324e+00
3.03017500e+00	9.52861100e-01	3.92664644e+00
3.04015400e+00	6.78950500e-01	6.63000548e+00
3.05013300e+00	1.07337660e+00	6.88268520e+00
3.06011100e+00	1.04935650e+00	3.92224934e+00
3.07009000e+00	1.08385970e+00	6.90399861e+00
3.08006900e+00	9.69720000e-01	6.79697002e+00
3.09004800e+00	8.12894100e-01	3.92780133e+00
3.10002700e+00	9.77992100e-01	3.91805722e+00
3.11000600e+00	7.05383200e-01	3.95861979e+00
3.11998500e+00	8.73972600e-01	1.68801992e-01
3.12996300e+00	6.36410800e-01	1.64729882e-01
3.13994200e+00	1.15818720e+00	1.75969016e-01
3.14992100e+00	9.52756000e-01	1.70197818e-01
3.15990000e+00	8.61483800e-01	1.69668981e-01
3.16987900e+00	8.81727600e-01	6.73735951e+00
3.17985800e+00	9.95324100e-01	6.84171901e+00
3.18983700e+00	9.83543000e-01	1.70234175e-01
3.19981500e+00	8.00279900e-01	1.66379095e-01
3.20979400e+00	8.15105700e-01	1.68127359e-01
3.21977300e+00	6.10272100e-01	1.59261206e-01
3.22975200e+00	9.31842500e-01	1.70702920e-01
3.23973100e+00	1.12589690e+00	1.71696008e-01
3.24971000e+00	1.00612360e+00	1.70616732e-01
3.25968900e+00	1.00364130e+00	1.68458614e-01
3.26966700e+00	1.12835570e+00	1.71847689e-01
3.27964600e+00	8.93631400e-01	1.67411366e-01
3.28962500e+00	8.37906900e-01	1.63585894e-01
3.29960400e+00	6.80767000e-01	1.60530412e-01
3.30958300e+00	7.52325300e-01	1.63305424e-01
3.31956200e+00	1.00551660e+00	1.67598701e-01
3.32954100e+00	1.05967870e+00	1.69465580e-01
3.33951900e+00	1.04112390e+00	1.66244035e-01
3.34949800e+00	8.50229000e-01	1.64687972e-01
3.35947700e+00	1.23264800e+00	6.97104893e+00
3.36945600e+00	9.09498700e-01	6.73186062e+00
3.37943500e+00	1.13270690e+00	6.89805134e+00
3.38941400e+00	1.11034690e+00	6.89080880e+00
3.39939200e+00	1.10990430e+00	1.69902062e-01
3.40937100e+00	9.29828000e-01	1.64316170e-01
3.41935000e+00	8.57236500e-01	6.78487329e+00
3.42932900e+00	1.06228730e+00	6.86987041e+00
3.43930800e+00	1.12101630e+00	6.89613574e+00
3.44928700e+00	9.40706400e-01	1.64968898e-01
3.45926600e+00	6.72122300e-01	1.56056777e-01
3.46924400e+00	6.49549800e-01	1.54985032e-01
3.47922300e+00	7.78516100e-01	6.69900328e+00
3.48920200e+00	1.00205190e+00	6.86546879e+00
3.49918100e+00	1.11671980e+00	6.92330506e+00
3.50916000e+00	7.71863000e-01	6.72915782e+00
3.51913900e+00	1.10163060e+00	1.65827634e-01
3.52911800e+00	8.63863800e-01	1.59679199e-01
3.53909600e+00	8.18646900e-01	1.58692921e-01
3.54907500e+00	9.60657000e-01	1.62380151e-01
3.55905400e+00	1.02113250e+00	1.62057232e-01
3.56903300e+00	8.27469100e-01	1.59796984e-01
3.57901200e+00	1.09692260e+00	1.63647786e-01
3.58899100e+00	6.97957400e-01	1.55888955e-01
3.59897000e+00	7.81738300e-01	1.56657806e-01
3.60894800e+00	1.02515420e+00	1.62437507e-01
3.61892700e+00	6.17488900e-01	1.54163757e-01
3.62890600e+00	1.17183720e+00	1.62904096e-01
3.63888500e+00	6.05860200e-01	1.51820549e-01
3.64886400e+00	8.79315700e-01	1.57442900e-01
3.65884300e+00	1.12115780e+00	1.63374891e-01
3.66882200e+00	1.13103770e+00	6.92546891e+00
3.67880000e+00	7.53028300e-01	6.66045848e+00
3.68877900e+00	8.60141100e-01	1.57947275e-01
3.69875800e+00	1.21544350e+00	1.63836316e-01
3.70873700e+00	7.39641200e-01	1.54568930e-01
3.71871600e+00	7.05606700e-01	1.53617390e-01
3.72869500e+00	1.06253970e+00	1.60207969e-01
3.73867400e+00	9.54903200e-01	1.60005149e-01
3.74865200e+00	8.26253400e-01	1.55055732e-01
3.75863100e+00	7.94062300e-01	6.70243554e+00
3.76861000e+00	8.29830000e-01	6.74752499e+00
3.77858900e+00	6.62883800e-01	6.62622117e+00
3.78856800e+00	7.29856400e-01	1.54127774e-01
3.79854700e+00	8.76783800e-01	1.53606066e-01
3.80852500e+00	5.88660500e-01	6.55714758e+00
3.81850400e+00	8.35341000e-01	6.74023837e+00
3.82848300e+00	7.54497800e-01	1.52266669e-01
3.83846200e+00	9.23148300e-01	6.73557573e+00
3.84844100e+00	6.99866000e-01	6.66022018e+00
3.85842000e+00	9.13242800e-01	1.55670459e-01
3.86839900e+00	9.13095400e-01	1.54603650e-01
3.87837700e+00	9.48109200e-01	1.55953904e-01
3.88835600e+00	1.10371390e+00	1.58528244e-01
3.89833500e+00	5.80013700e-01	3.94688890e+00
3.90831400e+00	5.09058400e-01	3.95392164e+00
3.91829300e+00	8.27820300e-01	1.51220896e-01
3.92827200e+00	7.76727800e-01	1.51461025e-01
3.93825100e+00	9.14175000e-01	1.52154970e-01
3.94822900e+00	9.97382100e-01	1.55130956e-01
3.95820800e+00	6.85455500e-01	1.48623903e-01
3.96818700e+00	1.09691050e+00	1.56418338e-01
3.97816600e+00	7.32862800e-01	1.49058539e-01
3.98814500e+00	8.04634500e-01	6.73105449e+00
3.99812400e+00	9.46399600e-01	6.84194826e+00
4.00810300e+00	6.84854700e-01	1.46350853e-01
4.01808100e+00	1.01684340e+00	1.55649486e-01
4.02806000e+00	6.38265300e-01	1.46846691e-01
4.03803900e+00	9.00493800e-01	1.51876252e-01
4.04801800e+00	4.76369300e-01	1.43335458e-01
4.05799700e+00	6.14066700e-01	6.62364478e+00
4.06797600e+00	7.38646100e-01	6.75553347e+00
4.07795500e+00	7.77700600e-01	6.71905225e+00
4.08793300e+00	7.93797200e-01	6.77286842e+00
4.09791200e+00	9.90513700e-01	1.53265548e-01
4.10789100e+00	6.08923700e-01	1.43509108e-01
4.11787000e+00	1.01904720e+00	1.53783081e-01
4.12784900e+00	7.99285800e-01	1.47419629e-01
4.13782800e+00	7.50672300e-01	1.46574046e-01
4.14780700e+00	8.65757100e-01	1.51538279e-01
4.15778500e+00	1.00168020e+00	1.50132203e-01
4.16776400e+00	7.01962400e-01	1.45809101e-01
4.17774300e+00	1.00097830e+00	6.86280487e+00
4.18772200e+00	8.88115400e-01	6.78524443e+00
4.19770100e+00	7.81854400e-01	6.75111139e+00
4.20768000e+00	4.79375800e-01	1.39305568e-01
4.21765800e+00	9.94605000e-01	1.51461121e-01
4.22763700e+00	6.38164300e-01	1.42424078e-01
4.23761600e+00	6.08994000e-01	3.96052005e+00
4.24759500e+00	9.10313800e-01	3.95969705e+00
4.25757400e+00	9.60580300e-01	3.97617600e+00
4.26755300e+00	7.35801900e-01	6.74289969e+00
4.27753200e+00	9.30415100e-01	6.83537176e+00
4.28751000e+00	8.42598500e-01	6.78820580e+00
4.29748900e+00	7.42439700e-01	6.74455254e+00
4.30746800e+00	9.20836800e-01	6.80826963e+00
4.31744700e+00	4.90232400e-01	1.38557559e-01
4.32742600e+00	6.99574100e-01	1.43007140e-01
4.33740500e+00	9.78556100e-01	1.48766720e-01
4.34738400e+00	6.90555300e-01	1.41158843e-01
4.35736200e+00	8.45979700e-01	1.46491649e-01
